Número de secuencia;Tipo de distinción;Órgano competente;Apellidos y nombre / Institución;Profesión / Actividad;Fecha de concesión;Fecha de entrega
1261;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Daniels, Wilheim;;24/04/1968;24/04/1968
1262;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Asociación de Belenistas;;26/09/1969;
1263;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Gabín Sagardía, Pío;;29/04/1970;
1264;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Contreras Saldaña, Gerardo;Redactor Gráfico;27/11/1970;
1265;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Iniesta Corredor, Alfonso;;30/03/1971;
1266;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Rodríguez Ciruega, Francisco;;22/06/1971;
1267;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Yela Granizo, Mariano;Psicólogo y filósofo;31/01/1975;
1268;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Lewe Van Aduard, E. J.;;27/06/1975;
1269;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Stuyck San Martín, Gabino;;31/10/1975;
1270;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Mogas Fontcuberta, María Ana;;31/10/1975;
1271;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Chico Pérez, Rafael;Periodista;30/03/1976;
1272;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Marín y Nuñez de Prado, José Ignacio;Sacerdote;30/04/1976;
1273;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Deglané Rodríguez-Portocarrero, Roberto;Locutor de radio;30/06/1978;
1274;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Hernández Sampelayo, Juan;Cronista de Villa;29/12/1978;
1275;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Aguado del Castillo, María Teresa;Restauradora;14/02/1979;
1276;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Centro de Iniciativas Turísticas;;25/01/1980;
1277;Medalla de Madrid Plata (1961);Pleno (mayoría simple);Díaz-Cañabate Gómez-Trevijano, Antonio;Escritor, periodista y crítico taurino;26/09/1980;
1278;Medalla de Madrid Plata (1982);Pleno (mayoría simple);Castela, Lucien;;27/06/1986;
1279;Medalla de Madrid Plata (1982);Pleno (mayoría simple);de Habsburgo Dobkin, Inmaculada ;;27/06/1986;
1280;Medalla de Madrid Plata (1982);Pleno (mayoría simple);Fauqué, Jacques ;;27/06/1986;
1281;Medalla de Madrid Plata (1982);Pleno (mayoría simple);Astillero Bastante, Antonio;;27/02/1987;
1282;Medalla de Madrid Plata (1982);Pleno (mayoría simple);De Borbón y Grecia, Cristina;;08/11/1988;08/11/1988
1283;Medalla de Madrid Plata (1982);Pleno (mayoría simple);Matos Aguilar, Javier;Médico;27/06/1990;
1284;Medalla de Madrid Plata (1982);Pleno (mayoría simple);Calderón Fernández, Javier;Teniente General;24/02/1995;
1285;Medalla de Madrid Plata (1982);Pleno (mayoría simple);Hermandad y Cofradía de Nazarenos ;;31/03/1995;
1286;Medalla de Madrid Plata (1982);Pleno (mayoría simple);López Alegría, Miguel;Astronauta;11/12/1995;13/12/1995
1287;Medalla de Madrid Plata (1982);Pleno (mayoría simple);Bidagor Lasarte, Pedro;Arquitecto y urbanista;27/09/1996;
1288;Medalla de Madrid Plata (1982);Pleno (mayoría simple);Zoo- Aquarium de Madrid;;25/06/1997;
1289;Medalla de Madrid Plata (1982);Pleno (mayoría simple);De Vicente-Tutor Guarnido, Ana Mª;;20/06/1998;
1290;Medalla de Madrid Plata (1982);Pleno (mayoría simple);Duque Duque, Pedro;Astronauta;11/01/1999;
1291;Medalla de Madrid Plata (1982);Pleno (mayoría simple);de la Hoz Arderius, Rafael;Arquitecto;27/03/2003;
1292;Medalla de Madrid Plata (1982);Pleno (mayoría simple);Cano Lasso, Julio;Arquitecto;27/03/2003;
1293;Medalla de Madrid Plata (1982);Pleno (mayoría simple);Saénz de Oiza, Javier;Arquitecto;27/03/2003;
1294;Medalla de Madrid Plata (1982);Pleno (mayoría simple);De la Sota Martínez, Alejandro;Arquitecto;27/03/2003;
1295;Medalla de Madrid Plata (1982);Pleno (mayoría simple);Gutiérrez Soto, Luis ;Arquitecto;27/03/2003;
1296;Medalla de Madrid Plata (1982);Pleno (mayoría simple);E.T.S. de Ingenieros de Caminos, Canales y Puertos;;30/04/2003;
1297;Medalla de Madrid Plata (1982);Pleno (mayoría simple);Garrido-Lestache Cabrera, Antonio;Funcionario - Médico;28/03/2007;
1298;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);del Río Luna, Teodosia;;29/11/1961;
1299;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Montero, Nicasio Joaquín;Funcionario;28/05/1962;
1300;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Aranda Navarro, Jesús;Funcionario;28/05/1962;
1301;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Muñoz Areños, José María;Funcionario;28/05/1962;
1302;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Barajas Vilches, José María;Funcionario;28/05/1962;
1303;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Renedo Fornos, Luis;Funcionario;28/05/1962;
1304;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);De la Peña Costa, Severiano;Funcionario;28/05/1962;
1305;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Pastor Rosado, Manuel;Funcionario;30/01/1963;
1306;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Álvarez de Estrada, José;Funcionario;29/03/1963;
1307;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Sánchez Trasancos, Antonio;;26/04/1963;
1308;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Leal Fuertes, José;;30/12/1963;
1309;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Ortega Casado, Jesús;;28/02/1964;
1310;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);García Quintana, Luis;Funcionario;29/05/1964;
1311;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);García García, Víctor;Funcionario;29/05/1964;
1312;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Moreno Martín, Luis;Funcionario;29/07/1964;
1313;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Moreno Hernáez, Francisco;Funcionario;29/07/1964;
1314;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Espinós Orlando, Juana;Funcionaria;27/10/1965;
1315;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Soria Miguel, David;Funcionario;26/11/1965;
1316;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Alcántara Gómez, Jacinto;Funcionario;30/06/1966;
1317;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Fernández Tejedor, Josefa;;28/10/1966;
1318;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);De Lara Gil, María Teresa;;28/10/1966;
1319;Medalla de Madrid Plata (funcionarios 1962);Pleno (mayoría simple);Hernández Nicolás, Ángel;Funcionario;31/01/1969;
1320;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Hurtado Ojalvo, Pedro;Funcionario;30/04/1971;
1321;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Cacheiro Pérez, Manuel;Funcionario;30/04/1971;
1322;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Badía de la Fuente, Concepción;Funcionario;30/04/1971;
1323;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Tarquis Laforgue, José Luis;Funcionario;30/04/1971;
1324;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);López-Dóriga Corcho, Enrique;Funcionario;30/04/1971;
1325;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Alonso de Lecinñana, Josefa;Funcionaria;30/04/1971;
1326;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Blánquez Aparicio, Tomás;Funcionario;30/04/1971;
1327;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Nieto Oliver, José;Funcionario;30/04/1971;
1328;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Angulo García, Enrique;Funcionario;30/04/1971;
1329;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Cadillá Rodríguez de Molina, José;Funcionario;30/04/1971;
1330;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Turrientes Miguel, Ramón;Funcionario;30/04/1971;
1331;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Martínez García, Manuel;Funcionario;30/04/1971;
1332;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Camarón Calleja, Luis ;Funcionario;30/04/1971;
1333;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Crespi Jaume, Gonzalo;;30/04/1971;
1334;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Dufort Cantero, Antonio;Funcionario;30/04/1971;
1335;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Coque Coque, Antonio;Funcionario;23/09/1971;
1336;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Castellanos Santa Cruz, José;Funcionario;26/07/1972;
1337;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Moreno Graciani, Carlos ;Funcionario;31/05/1974;
1338;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);De Andrés Martínez, Antonio;Funcionario;31/05/1974;
1339;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);González Espluga;Funcionario;31/05/1974;
1340;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Sanz de Pedre, Mariano;Funcionario;31/05/1974;
1341;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Belmonte Alarcón, Antonio;Funcionario;31/05/1974;
1342;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Gil Francés, Francisco Javier;Funcionario;31/05/1974;
1343;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Mingo Fernández, Gerardo;Funcionario;31/05/1974;
1344;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Guerra Mascaraque, Obdulia;Funcionaria;31/05/1974;
1345;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Plata Gutiérrez, José;Funcionario;28/06/1974;
1346;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Sánchez Conde, Miguel;Funcionario;28/06/1974;
1347;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);García Manzano, Manuel Mariano;Funcionario;30/04/1976;
1348;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Morales Vilanova, Adolfo;Funcionario;30/04/1976;
1349;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Sánchez Múgica, Florencio Manuel;Funcionario;30/04/1976;
1350;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Embarba Suárez, Fausto;Funcionario;30/04/1976;
1351;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);García Díaz, Marcial;;31/03/1978;
1352;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Díez González, Benjamín;Funcionario (Policía Municipal);30/01/1979;
1353;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Romero García Montejo, Bienvenido;Funcionario (Policía municipal );30/01/1979;
1354;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Alfaro Ortega, Manuela;Funcionario;06/04/1979;
1355;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Cabranes Eizmendi, Manuel;Funcionario;06/04/1979;
1356;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Díez González, Florentino Agustín;Funcionario;06/04/1979;
1357;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Ferreiro Sanz, Juan José;Funcionario;06/04/1979;
1358;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Díez Vela, Florencio;Funcionario;06/04/1979;
1359;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Gago López, Antonio;Funcionario;06/04/1979;
1360;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);García Ocaña, Luis;Funcionario;06/04/1979;
1361;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Monasterio de Mingo, Alfonso;Funcionario;06/04/1979;
1362;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Moreno Martínez, Pilar;Funcionario;06/04/1979;
1363;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Mur Pérez, Isabel;Funcionario;06/04/1979;
1364;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Ramos Fontecha, Ramón;Funcionario;06/04/1979;
1365;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Resel Maceira, Luis;Funcionario;06/04/1979;
1366;Medalla de Madrid Plata (funcionarios 1970);Pleno (mayoría simple);Hernández Díaz, Carlos;Funcionario (Policía municipal);16/06/1981;
1367;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);González Alonso, Priscilo;Funcionario;10/12/1982;
1368;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Rebollo García, Eulogio;Funcionario;10/12/1982;
1369;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Palomera Rodríguez, Gervasio;Funcionario;10/12/1982;
1370;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Molina Campuzano, Miguel;Funcionario;10/12/1982;
1371;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Del Palacio Rodríguez, Ángel;Funcionario;10/12/1982;
1372;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Solana Gaspar, Fernando;Funcionario;10/12/1982;
1373;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Bouza Jiménez, Lorenzo;Funcionario;10/12/1982;
1374;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Sedín García, Alejandro;Funcionario;06/04/1983;
1375;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Granizo García Cuenca, Jesús;Funcionario;06/04/1983;
1376;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Hidalgo Chapado, José María;Funcionario;06/04/1983;
1377;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Fernández Montoro, Gracia;Funcionario;06/04/1983;
1378;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Sánchez Blázquez, Gregorio;Funcionario;06/04/1983;
1379;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Casado Flores, Patricio;Funcionario;28/09/1984;
1380;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);García Jiménez, Antonio;Funcionario;28/09/1984;
1381;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Gil Navarro, Enrique;Funcionario;28/09/1984;
1382;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Lucas García, Julio;Funcionario;28/09/1984;
1383;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Rodríguez Alarcón, Justino;Funcionario;28/09/1984;
1384;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Sayago Real, Francisco;Funcionario;28/09/1984;
1385;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Martín Martín, Robustiano Tomás;Funcionario;27/06/1986;
1386;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Calderón Herrero, María del Carmen;Funcionario;27/06/1986;
1387;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Aguillaume Cadavieco, Adolfo;Funcionario;27/06/1986;
1388;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Lampaya Peña, Vicente;Funcionario;30/01/1987;
1389;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Marín López, Juan;;30/01/1987;
1390;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Urbano Sánchez, Javier;Funcionario - Médico;30/01/1987;
1391;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Pita-Romero y Pantín, José Luis;Funcionario;27/06/1990;
1392;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Romero Díaz, Maria Luisa;Funcionaria - Administrativa;03/06/1991;
1393;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Ronco Arlanzón, Ana Ascensión;Funcionaria - Administrativo;03/06/1991;
1394;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Sánchez Sánchez, Alberto;Funcionario - TAG;26/07/1991;
1395;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Alonso Acero, Julio;Funcionario - Aparejador;13/03/1992;
1396;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Solera Barchin, Virgilio;Funcionario;26/06/1992;
1397;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Rodríguez Leyva, Daniel;Funcionario;26/06/1992;
1398;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Hormigos García, Rufino Mariano;Encargado de edificios;30/09/1992;
1399;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Varela Lamarque, Pilar;Funcionaria - Archivera Bibliotecaria;25/02/1994;
1400;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Férnandez Iglesias, Juan Manuel;Funcionario;31/03/1995;
1401;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Escolano López-Montenegro, Mariano;Funcionario;31/03/1995;
1402;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Cogollor Mingo, Vicente;Funcionario;26/04/1996;
1403;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Sánchez Carrasco, Pablo;Funcionario;26/04/1996;
1404;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Soler y Monsalve, José María;Funcionario;26/04/1996;
1405;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Almendros Padin, Ángel;Funcionario;27/09/1996;
1406;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Ruiz Lucientes, Joaquín;Funcionario;27/09/1996;
1407;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Sánchez Vargas, Mariano;Funcionario;29/07/1997;
1408;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Nogales Leonardo, Antonio;Funcionario;29/07/1997;
1409;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Portales Casarrubios, Emilia;Funcionaria;29/07/1997;
1410;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Areñas Olmedo, Rafael;Funcionario;28/05/1998;
1411;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Yerga Almorox, Emilia;Funcionaria;28/05/1998;
1412;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Cristobal Sánchez, Félix;Funcionario;29/07/1999;
1413;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Macarrón Macarrón, Filomena;Funcionaria;30/11/2000;
1414;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Baraibar Machinn, Luis;Funcionario;30/11/2000;
1415;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Bachiller Fernández, Mercedes;Funcionaria;21/06/2001;
1416;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);De la Rica Castedo, Sebastián;Funcionario;21/06/2001;
1417;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Mesa González, José María;Funcionario;21/06/2001;
1418;Medalla de Madrid Plata (funcionarios 1982) ;Pleno (mayoría simple);Madrid Ruiz, Silvia;Funcionaria - Enfermera SAMUR;31/01/2002;
1419;Medalla de Oro de la Villa de Madrid;Pleno (mayoría absoluta);Banda Municipal;;01/06/1934;
1420;Medalla de Oro de la Villa de Madrid;Pleno (mayoría absoluta);Cuerpo de Bomberos;;26/07/1935;
1421;Medalla de Oro de la Villa de Madrid;Pleno (mayoría absoluta);de la Cierva Codorniú,  Juan ;Inventor;06/12/1935;
1422;Medalla de Oro de la Villa de Madrid;Pleno (mayoría absoluta);Ortega y Gasset, José ;Filósofo y ensayista;06/12/1935;
1423;Medalla de Oro de la Villa de Madrid;Pleno (mayoría absoluta);Casals, Pablo ;Músico;06/12/1935;
1424;Medalla de Oro de la Villa de Madrid;Pleno (mayoría absoluta);Benavente, Jacinto;Escritor;31/01/1936;
1425;Medalla de Oro de la Villa de Madrid;Pleno (mayoría absoluta);Salgado Cuesta, Rafael ;Industrial;31/01/1936;
1426;Medalla de Oro de la Villa de Madrid;Pleno (mayoría absoluta);Ruano Carriedo, Francisco;Funcionario;31/01/1936;
1427;Medalla de Oro de la Villa de Madrid;Pleno (mayoría absoluta);Zozaya,  Antonio  ;Escritor;21/02/1936;
1428;Medalla de Oro de la Villa de Madrid;Pleno (mayoría absoluta);Castrovido, Roberto ;Escritor;21/02/1936;
1429;Medalla de Oro de la Villa de Madrid;Pleno (mayoría absoluta);de Tapia, Luis ;Escritor;21/02/1936;
1430;Medalla de Oro de la Villa de Madrid;Pleno (mayoría absoluta);Besteiro Fernández, Julián ;Catedrático y político;20/03/1936;
1431;Medalla de Oro de la Villa de Madrid;Pleno (mayoría absoluta);Azaña Díaz, Manuel ;Presidente de la República;20/03/1936;
1432;Medalla de Oro de la Villa de Madrid;Pleno (mayoría absoluta);Prieto y Tuero, Indalecio ;Político;12/06/1936;
1433;Medalla de Oro de la Villa de Madrid;Pleno (mayoría absoluta);Mangada, Julio ;Militar;21/08/1936;
1434;Visitante Ilustre (anterior a Reglamento de Protocolo y Ceremonial de 1988);;Greene, Graham ;Escritor;27/06/1980;
1435;Visitante Ilustre (anterior a Reglamento de Protocolo y Ceremonial de 1988);;Havelange,  Joao ;;04/12/1981;
1436;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Chen Xi Tong;;17/07/1992;
1437;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Shunichi Suzuki;;17/07/1992;
1438;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Diepgen, Eberhard ;;17/07/1992;
1439;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Araya Monge, Johnny ;;18/09/1992;
1440;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Demzsky, Gabor ;;18/09/1992;
1441;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Schwartz, Margareta ;;14/05/1993;
1442;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Fischer, Bernd;;10/10/1994;
1443;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Fraco, Vasco;;10/10/1994;
1444;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Rigby, Peter;;10/10/1994;
1445;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Bourg, Willy;;10/10/1994;
1446;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Bedossa, Adrien;;10/10/1994;
1447;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Renzi, Mauricio;;10/10/1994;
1448;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Kouris, Leónidas;;10/10/1994;
1449;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Thielemans, Fredy ;;10/10/1994;
1450;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Kramer Mikkelsen, Jens ;;10/10/1994;
1451;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Gormley, John;;10/10/1994;
1452;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Kooiker, Klaas;;10/10/1994;
1453;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Goldenberg Schreiber, Efraín;;18/11/1994;
1454;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;de Donnéa de Hamoir, François Xavier ;;21/04/1995;
1455;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Arana Sánchez,  Mariano;;20/10/1995;
1456;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Domínguez,  Jorge Manuel ;;02/02/1996;
1457;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Espinosa Villareal, Óscar;;24/05/1996;
1458;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Diepgen, Eberhard;;27/09/1996;
1459;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Luzhkonv, Yuri ;;14/02/1997;
1460;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Sidi Mohammed;;09/05/1997;
1461;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Oliveira, Enrique;;26/09/1997;
1462;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Ledezma, Antonio;;26/09/1997;
1463;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Gosálvez Solguren, Alfonso;;26/09/1997;
1464;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Lis, Viorel;;26/09/1997;
1465;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Calderón, Sila María ;;26/09/1997;
1466;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Silva Argüello, Héctor Ricardo ;;26/09/1997;
1467;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Gutiérrez Gantier, Germán ;;26/09/1997;
1468;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Calderón Romero, Fernando;;26/09/1997;
1469;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Sampaio, Arlette;;26/09/1997;
1470;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Valentinovich, Petrov Anatoli ;;26/09/1997;
1471;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Díaz García de Paredes, Augusto;;26/09/1997;
1472;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Svec, Petr ;;26/09/1997;
1473;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Ramos Díaz, Jesús ;;26/09/1997;
1474;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;de Aguilar Ribeiro, Airton ;;26/09/1997;
1475;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Espinal Fernández, Rafael ;;26/09/1997;
1476;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Silva, Alicia Eugenia ;;26/09/1997;
1477;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Herrera, Belela ;;26/09/1997;
1478;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Berger Perdomo, Oscar ;;26/09/1997;
1479;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Andrade Carmona, Alberto ;;26/09/1997;
1480;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Sáez, Irene ;;27/02/1998;
1481;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;Nichols, Richard ;;14/05/1998;
1482;Visitante Ilustre de la Villa de Madrid;Junta de Gobierno;de la Rua, Fernando ;;05/06/1998;
